title,lccn,start_year,end_year,frequency,frequency_normalized,language,place,place_of_publication
The Peoples press.,sn88083318,1900,9999,Weekly,Weekly,English,Texas-Jefferson-Port Neches,"Port Neches, Tex."
Port Aransas beacon.,sn88083603,1900,9999,Weekly,Weekly,English,Texas-Nueces-Port Aransas,"Port Aransas, Tex."
The Port Aransas post.,sn88083614,1911,9999,Weekly,Weekly,English,Texas-Nueces-Port Aransas,"Port Aransas, Tex."
The Port Aransas review.,sn88084155,1967,1999,NA,Missing,English,Texas-Nueces-Port Aransas,"Port Aransas, Tex."
Port Aransas south jetty.,sn86089949,1972,9999,Weekly,Weekly,English,Texas-Nueces-Mustang Island|Texas-Nueces-Port Aransas,"Port Aransas, Tex."
Port Arthur daily herald.,sn87091262,1800,9999,Daily,Daily,English,Texas-Jefferson-Port Arthur,"Port Arthur, Tex."
Port Arthur daily news. [volume],sn86064233,1900,1922,Daily,Daily,English,Texas-Jefferson-Port Arthur,"Port Arthur, Tex."
The Port Arthur herald. [volume],sn86090342,1897,1999,Weekly,Weekly,English,Texas-Jefferson-Port Arthur,"Port Arthur, Tex."
The Port Arthur news. [volume],sn86010491,1922,1973,Daily,Daily,English,Texas-Jefferson-Port Arthur,"Port Arthur, Tex."
Port Arthur news. [volume],sn86090399,1897,1999,Weekly,Weekly,English,Texas-Jefferson-Port Arthur,"Port Arthur, Texas"
The Port Arthur record.,sn87091261,1909,9999,Weekly,Weekly,English,Texas-Jefferson-Port Arthur,"Port Arthur, Tex."
Port Isabel pilot.,sn86089944,1928,9999,Weekly,Weekly,English,Texas-Cameron-Point Isabel|Texas-Cameron-Port Isabel,"Point Isabel, Tex."
Port Isabel press.,sn86089999,1949,9999,Weekly,Weekly,English,Texas-Cameron-Port Isabel,"Port Isabel, Tex."
Port Isabel South Padre Island press. [volume],sn88083814,1974,9999,Weekly,Weekly,English,Texas-Cameron-Port Isabel,"Port Isabel, Tex."
The Port Lavaca wave Calhoun County news.,sn88083604,1800,9999,Weekly,Weekly,English,Texas-Calhoun-Port Lavaca,"Port Lavaca, Tex."
The Port Lavaca wave. [volume],sn86090182,1900,9999,Semiweekly,Semiweekly,English,Texas-Calhoun-Port Lavaca,"Port Lavaca, Tex."
Port Lavacaen.,sn86089951,1891,9999,Weekly,Weekly,English,Texas-Calhoun-Port Lavaca,"Port Lavaca, Tex."
Port Neches chronicle.,sn88083312,1976,9999,NA,Missing,English,Texas-Jefferson-Port Neches,"Port Neches, Tex."
The Portales Methodist. [volume],sn94056890,1900,1999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
Portland advocate.,sn86089967,1892,1899,Weekly,Weekly,English,Texas-San Patricio-Portland,"Portland, Tex."
The Portland news.,sn88083599,1964,9999,Weekly,Weekly,English,Texas-San Patricio-Portland,"Portland, Tex."
The Post dispatch.,sn86089100,1926,9999,Weekly,Weekly,English,Texas-Garza-Post,"Post, Tex."
The Post news.,sn88083442,1965,9999,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth, Tex."
The post tribune. [volume],sn84024125,1960,1975,Weekly,Weekly,English,Texas-Dallas-Dallas|Texas-Tarrant-Fort Worth,"Dallas, Tex."
The Post-mirror.,sn88083230,1888,9999,Weekly,Weekly,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
The post-signal.,sn88083024,1980,9999,Weekly,Weekly,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
The Post-signal.,sn88083231,1800,9999,Weekly,Weekly,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
Poteet citizen.,sn86089235,1940,1999,Weekly,Weekly,English,Texas-Atascosa-Poteet,"Poteet, Tex."
The Pottsboro enterprise.,sn88083015,1800,9999,NA,Missing,English,Texas-Grayson-Pottsboro,"Pottsboro, Tex."
Pottsboro press.,sn84006179,1984,9999,Weekly (except last week of Dec.),Weekly ,English,Texas-Grayson-Pottsboro,"Pottsboro, Tex."
Phillips reporter. [volume],sn86090288,1934,1934,Weekly,Weekly,English,Texas-Hutchinson-Whittenburg,"Whittenburg, Tex."
The Philomathean. [volume],sn86088547,1886,1999,Monthly,Monthly,English,Texas-Washington-Chappell Hill,"Chappell Hill, Tex."
The pioneer exponent. [volume],sn86088654,1887,1912,Weekly,Weekly,English,Texas-Comanche-Comanche,"Comanche, Tex."
The Pioneer gazette.,sn88083633,1900,9999,NA,Missing,English,Texas-Hays-Wimberly,"Wimberly, Tex."
Pioneer history : a monthly supplement of Kerrville times. [volume],sn86088839,1933,9999,Monthly,Monthly,English,Texas-Kerr-Kerrville,"[Kerrville, Tex.]"
Pioneer news-observer.,sn87090333,1970,1974,Monthly,Monthly,English,Texas-Kerr-Kerrville|Texas-Kerr-Mountain Home,"Mountain Home, Tex."
The Pioneer. [volume],2015269550,1849,1999,Weekly,Weekly,English,Texas-Anderson-Palestine,"Palestine, Anderson County, Texas"
The pioneer.,sn88083960,1977,1999,Weekly,Weekly,English,Texas-Nacogdoches-Nacogdoches,"Nacogdoches, Tex."
The Pittsburg chronicle.,sn86089974,1902,1999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
Pittsburg daily vidette.,sn86089933,1925,1999,Daily,Daily,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The Pittsburg gazette. [volume],sn86089507,1884,9999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The Pittsburg press.,sn86089932,1913,1999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The Pittsburg vidette.,sn88083970,1900,1999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The Pittsburg weekly news.,sn86089931,1891,1999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The Pittsburg weekly vidette.,sn86089934,1917,1999,Weekly,Weekly,English,Texas-Camp-Pittsburg,"Pittsburg, Tex."
The pictorial press.,sn87090708,1960,9999,Semiweekly,Semiweekly,English,Texas-Brazos-Bryan,"Bryan, Tex."
Pilot Point mirror.,sn88083232,1880,9999,Weekly,Weekly,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
The Pilot Point post-signal.,sn88083081,1878,1979,Weekly,Weekly,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
Pilot Point post.,sn86089945,1878,9999,NA,Missing,English,Texas-Denton-Pilot Point,"Pilot Point, Tex."
The Pine log.,sn87090706,1924,9999,Weekly,Weekly,English,Texas-Nacogdoches-Nacogdoches,"Nacogdoches, Tex."
Pine needle.,sn87090705,1964,9999,Weekly,Weekly,English,Texas-Hardin-Kountze,"Kountze, Tex."
The Piney woods echo.,sn88083058,1900,9999,Weekly,Weekly,English,Texas-Polk-Onalaska,"Onalaska, Tex."
Pineywoods press.,sn88083315,1900,9999,NA,Missing,English,Texas-Tyler-Woodville,"Woodville, Tex."
The Plain dealer. [volume],sn86088534,1932,9999,Weekly,Weekly,English,Texas-Polk-Corrigan,"Corrigan, Tex."
The plain dealer.,sn86089283,1936,1999,Monthly,Monthly,English,Texas-Wichita-Wichita Falls,"Wichita Falls, Tex."
The Plain Texan and Weatherford Democrat. [volume],sn86090809,1906,1916,Semiweekly,Semiweekly,English,Texas-Parker-Weatherford,"Weatherford, Tex."
The Plain Texan.,sn88083156,1905,1999,Weekly,Weekly,English,Texas-Parker-Weatherford,"Weatherford, Tex."
The plains journal.,sn86064224,1922,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Plains pride.,sn87090225,1985,9999,Weekly,Weekly,English,Texas-Yoakum-Plains,"Plains, Tex."
The Plains record.,sn86089094,1960,1968,Weekly,Weekly,English,Texas-Yoakum-Plains,"Plains, Tex."
The Plains review.,sn86089115,1930,1971,Weekly,Weekly,English,Texas-Yoakum-Plains,"Plains, Tex."
Plainview daily herald. [volume],sn86089774,1000,9999,Daily,Daily,English,Texas-Hale-Plainview,"Plainview, Tex."
Plainview daily herald. [volume],sn86090003,1956,9999,Daily,Daily,English,Texas-Hale-Plainview,"Plainview, Tex."
The Plainview evening herald.,sn86089095,1914,1956,Semiweekly,Semiweekly,English,Texas-Hale-Plainview,"Plainview, Tex."
The Plainview news.,sn88084237,1900,1999,Weekly,Weekly,English,Texas-Hale-Plainview,"Plainview, Tex."
The Plainview reporter news.,sn86090650,1969,1980,Weekly,Weekly,English,Texas-Hale-Plainview,"Plainview, Tex."
The Plainview tribune.,sn86088043,1930,1999,NA,Missing,English,Texas-Hale-Plainview,"Plainview, Tex."
Plano daily star-courier. [volume],sn94059104,1900,1986,Daily (except Sat. and Mon.),Daily,English,Texas-Collin-Plano,"Plano, Tex."
Plano star courier.,sn87002513,1986,9999,Daily,Daily,English,Texas-Collin-Plano,"Plano, Tex."
The Plano star-courier.,sn86089947,1908,1999,Weekly,Weekly,English,Texas-Collin-Plano,"Plano, Tex."
The Planter. [volume],sn86088518,1842,1855,Weekly,Weekly,English,Texas-Brazoria-Columbia,"Columbia, Tex."
The Platonian messenger. [volume],sn86089544,1884,1899,Monthly (during the collegiate year),Monthly,English,Texas-Fannin-Savoy,"Savoy, Tex."
The Pleasant Grove news.,sn88083211,1951,1952,Weekly,Weekly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Pleasanton express. [volume],sn86064234,1910,9999,Weekly,Weekly,English,Texas-Atascosa-Pleasanton,"Pleasanton, Tex."
The Pleasanton monitor. [volume],sn86089561,1880,1914,Weekly,Weekly,English,Texas-Atascosa-Pleasanton,"Pleasanton, Tex."
El Periodico.,sn88083698,1986,9999,Weekly,Weekly,Spanish,Texas-Hidalgo-McAllen,"McAllen, Tex."
El perio´dico U.S.A.,sn88001752,1986,9999,Weekly,Weekly,Spanish,Texas-Hidalgo-McAllen,"McAllen, Tex."
The Peripatos.,sn86088072,1907,1999,Daily,Daily,English,Texas-Travis-Austin,"Austin, Tex."
The Permian Basin journal.,sn86090665,1900,9999,Monthly,Monthly,English,Texas-Ector-Odessa,"Odessa, Tex."
The Perryton herald.,sn86089097,1969,9999,Weekly,Weekly,English,Texas-Ochiltree-Perryton,"Perryton, Tex."
The Petersburg journal.,sn86088041,1925,1967,Weekly,Weekly,English,Texas-Hale-Petersburg,"Petersburg, Tex."
The Petersburg post.,sn86089114,1962,9999,Weekly (except the week of July 4th and New Year's Day),Weekly,English,Texas-Hale-Petersburg,"Petersburg, Tex."
Petroleum daily. [volume],sn86088842,1937,1999,Daily (except Sun.),Daily,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Petrolia enterprise.,sn86089863,1909,9999,Weekly,Weekly,English,Texas-Clay-Petrolia,"Petrolia, Tex."
Pettus oil field pilot.,sn86090083,1930,1999,Weekly,Weekly,English,Texas-Bee-Pettus,"Pettus, Tex."
The Petty enterprise.,sn86090069,1000,1999,Weekly,Weekly,English,Texas-Lamar-Petty,"Petty, Tex."
The Petty news and enterprise. [volume],sn86089547,1900,1999,Weekly?,Weekly,English,Texas-Lamar-Petty,"Petty, Tex."
The Pflugerville press.,sn91000754,1991,9999,Weekly,Weekly,English,Texas-Travis-Pflugerville,"Pflugerville, TX"
Pharr clarion.,sn88083691,1900,9999,Weekly,Weekly,English,Texas-Hidalgo-Pharr,"Pharr, Tex."
The Pharr free press.,sn88083682,1933,1933,Weekly,Weekly,English,Texas-Hidalgo-Pharr,"Pharr, Tex."
The Pharr press.,sn88083592,1937,1988,Weekly,Weekly,English,Texas-Hidalgo-Pharr,"Pharr, Tex."
The Pharr sun.,sn88083674,1900,9999,Weekly,Weekly,English,Texas-Hidalgo-Pharr,"Pharr, Tex."
The Jewish herald-voice. [volume],sn78004062,1938,9999,Weekly,Weekly,English,Texas-Harris-Houston,"Houston, Tex."
The Jewish herald.,sn93068209,1908,1914,Weekly,Weekly,English,Texas-Harris-Houston,"Houston, Tex."
The Jewish journal of San Antonio. [volume],sn87090787,1973,9999,Monthly,Monthly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Jewish monitor and Jewish weekly.,sn97065908,1921,1925,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth-Dallas, Tex."
The Jewish monitor. [online resource],2013272051,1910,1921,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth-Dallas, Texas"
The Jewish monitor.,sn89070104,1910,1921,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth-Dallas, Tex."
The Jewish monitor.,sn97065909,1925,1999,Weekly,Weekly,English,Texas-Tarrant-Fort Worth,"Fort Worth-Dallas, Tex."
The Jewish observer.,sn87090786,1975,9999,Monthly,Monthly,English,Texas-Dallas-Dallas,"Dallas, Tex."
The Jewish record.,sn86090057,1924,1999,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Jewish recorder.,sn87090279,1932,9999,Biweekly,Semimonthly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
The Jewish weekly review.,sn89070093,1923,1923,Weekly,Weekly,English,Texas-Bexar-San Antonio,"San Antonio, Tex."
Jim Hogg County enterprise.,sn86089337,1926,9999,Weekly,Weekly,English,Texas-Jim Hogg-Hebbronville,"Hebbronville, Tex."
Jim Ned journal.,sn84002537,1980,1989,Weekly (except weeks of July 10 & Dec. 25),Weekly,English,Texas-Taylor-Tuscola,"Tuscola, Tex."
The Jimplecute.,sn86089977,1800,1907,Weekly,Weekly,English,Texas-Marion-Jefferson,"Jefferson, Tex."
Johnson County news.,sn86088037,1964,9999,Semiweekly,Semiweekly,English,Texas-Johnson-Cleburne,"Cleburne, Tex."
Johnson County record.,sn88083464,1800,9999,Weekly,Weekly,English,Texas-Johnson-Joshua,"Joshua, Tex."
Johnson County review. [volume],sn86088553,1891,9999,Weekly,Weekly,English,Texas-Johnson-Cleburne,"Cleburne, Tex."
The Jolly roger.,sn88083730,1950,9999,NA,Missing,English,Texas-Victoria-Victoria,"Victoria, Tex."
Jones County journal.,sn87091209,1983,9999,Weekly,Weekly,English,Texas-Jones-Hawley,"Hawley, Tex."
Jones County journal. Hawley edition.,sn83003319,1983,9999,Weekly (except Christmas & New Years),Weekly,English,Texas-Jones-Hawley,"[Hawley, Tex.]"
The Jones County observer.,sn86088031,1939,1945,Weekly,Weekly,English,Texas-Jones-Anson,"Anson, Tex."
The Madisonville meteor and commonwealth.,sn86089996,1900,1937,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
The Madisonville meteor and times.,sn88084298,1937,1949,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
The Madisonville meteor and times.,sn88084299,1978,1990,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
The Madisonville meteor.,sn86089233,1940,1978,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
The Madisonville meteor.,sn88084300,1895,1999,NA,Missing,English,Texas-Madison-Madisonville,"Madisonville, Tex."
The Madisonville meteor.,sn96092500,1991,9999,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
Madisonville plaindealer. [volume],sn84022066,1800,1899,Weekly,Weekly,English,Texas-Madison-Madisonville,"Madisonville, Tex."
Magic Valley news.,sn88083716,1916,9999,Weekly,Weekly,English,Texas-Willacy-Lyford,"Lyford, Tex."
The Magnolia Park news. [volume],sn86088870,1900,1999,Weekly,Weekly,English,Texas-Harris-Houston|Texas-Harris-Magnolia Park,"Magnolia Park [i.e. Houston], Tex."
The Mart daily herald.,sn88083722,1900,1971,Daily,Daily,English,Texas-McLennan-Mart,"Mart, Tex."
The Mart herald. [volume],sn86089770,1901,1993,Weekly,Weekly,English,Texas-McLennan-Mart,"Mart, Tex."
The Mart Texan.,sn93004324,1993,2009,Weekly,Weekly,English,Texas-McLennan-Mart,"Mart, Tex."
Martin County news.,sn85005219,1980,9999,Weekly,Weekly,English,Texas-Martin-Stanton,"Stanton, Tex."
Mason County herald. [volume],sn95078912,1892,1897,Weekly,Weekly,English,Texas-Mason-Mason,"Mason, Mason County, Tex."
Mason County news. [volume],sn86089009,1889,9999,Weekly,Weekly,English,Texas-Mason-Mason,"Mason, Tex."
Mason herald. [volume],sn94059114,1897,1999,Weekly,Weekly,English,Texas-Mason-Mason,"Mason, Mason County, Texas"
The Mason news-item. [volume],sn86090167,1877,1889,Weekly,Weekly,English,Texas-Mason-Mason,"Mason, Tex."
The Mason news.,sn87091234,1880,1889,Weekly,Weekly,English,Texas-Mason-Mason,"Mason, Tex."
The Matador gusher.,sn86088023,1919,1999,Weekly,Weekly,English,Texas-Motley-Matador,"Matador, Tex."
Matador tribune. [volume],sn86088808,1931,1986,Weekly,Weekly,English,Texas-Motley-Matador,"Matador, Tex."
Matagorda bulletin. [volume],sn86071239,1837,1839,Weekly,Weekly,English,Texas-Matagorda-Matagorda,"Matagorda, Tex."
Matagorda County news and midcoast farmer.,sn86088317,1914,1999,Semiweekly,Semiweekly,English,Texas-Matagorda-Bay City,"Bay City, Tex."
Matagorda County news and new era.,sn86088316,1918,9999,Weekly,Weekly,English,Texas-Matagorda-Bay City,"Bay City, Tex."
The Matagorda County tribune.,sn86088315,1898,1999,Daily,Daily,English,Texas-Matagorda-Bay City,"Bay City, Tex."
The Matagorda County tribune. [volume],sn86090173,1900,9999,Daily (except Sat.),Daily,English,Texas-Matagorda-Bay City,"Bay City, Tex."
The Matagorda gazette. [volume],sn86089763,1858,1899,Weekly,Weekly,English,Texas-Matagorda-Matagorda,"Matagorda, Tex."
The Matagorda news.,sn86088200,1912,1913,Weekly,Weekly,English,Texas-Matagorda-Matagorda,"Matagorda, Tex."
The Mathis news.,sn87090614,1900,9999,Weekly,Weekly,English,Texas-San Patricio-Mathis,"Mathis, Tex."
McMullen County times.,sn86089232,1939,1999,Weekly,Weekly,English,Texas-McMullen-Tilden,"Tilden, Tex."
The McMurry bulletin.,sn87090729,1923,1923,Semimonthly,Semimonthly,English,Texas-Taylor-Abilene,"Abilene, Tex."
McMurry war whoop.,sn87090730,1927,1950,Weekly,Weekly,English,Texas-Taylor-Abilene,"Abilene, Tex."
The Meadow star. [volume],sn86089010,1936,1999,Weekly,Weekly,English,Texas-Terry-Meadow,"Meadow, Tex."
The Medina County news.,sn87090619,1880,9999,Weekly,Weekly,English,Texas-Medina-Hondo,"Hondo, Tex."
The Medina light.,sn87090492,1930,1941,Weekly,Weekly,English,Texas-Bandera-Medina,"Medina, Tex."
The Medina Valley & county news bulletin.,sn88083626,1960,1974,Weekly,Weekly,English,Texas-Medina-Castroville,"Castroville, Tex."
Medina valley times.,sn88083540,1900,9999,Weekly,Weekly,English,Texas-Medina-Devine,"Devine, Tex."
The Megaphone. [volume],sn78000627,1900,9999,Weekly (during the school year except during official recess),Weekly,English,Texas-Williamson-Georgrtown,"Georgetown, Tex."
The Megargel enterprise.,sn86090668,1910,1999,Weekly,Weekly,English,Texas-Archer-Megargel,"Megargel, Tex."
The Megargel news.,sn86090667,1925,1999,Weekly,Weekly,English,Texas-Archer-Megargel,"Megargel, Tex."
Mei nan xin wen = Southern Chinese daily news.,sn95061619,1980,9999,Daily (except Mon. and holidays),Daily,Chinese,Texas-Harris-Houston,"Houston, Tex."
The Melvin advocate. [volume],sn96092511,1915,1999,Weekly,Weekly,English,Texas-McCulloch-Melvin,"Melvin, McCulloch Co., Tex."
The Melvin enterprise. [volume],sn86090567,1922,1999,Weekly,Weekly,English,Texas-McCulloch-Melvin,"Melvin, Tex."
The Melvin rustler. [volume],sn96092510,1915,1915,Weekly,Weekly,English,Texas-McCulloch-Melvin,"Melvin, McCulloch Co., Tex."
Memphis Democrat.,sn86088969,1908,9999,Weekly,Weekly,English,Texas-Hall-Memphis,"Memphis, Tex."
The Love Field loops.,sn91069519,1918,1999,Weekly,Weekly,English,Texas-Dallas-Dallas,"Love Field, Tex."
The Lovelady enterprise. [volume],sn86090566,1936,1999,Weekly,Weekly,English,Texas-Houston-Lovelady,"Lovelady, Tex."
The Lovelady star. [volume],sn86089710,1927,1933,Weekly,Weekly,English,Texas-Houston-Lovelady,"Lovelady, Tex."
Lower Rio Grande Valley news. [volume],sn86089715,1921,1922,Monthly,Monthly,English,Texas-Hidalgo-McAllen,"McAllen, Tex."
The Lower Rio Grande Valley tourist.,sn88083776,1930,9999,NA,Missing,English,Texas-Hidalgo-Mercedes,"Mercedes, Tex."
The Lower Rio Grande.,sn86088378,1893,9999,Daily (except Sun.),Daily,English,Texas-Cameron-Bronwsville,"Brownsville, Tex."
The Loyal national union journal. [volume],sn83025752,1864,1899,Weekly,Weekly,English,Texas-Cameron-Brownsville,"Brownsville, Tex."
The Lubbock avalanche and plains journal combined.,sn87090229,1926,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock avalanche-journal.,sn86088059,1959,1983,Daily (except Sat. and Sun.),Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock avalanche-journal.,sn86088060,1959,9999,Daily,Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock avalanche-journal. [volume],sn86088061,1940,9999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock avalanche. [online resource],2013218996,1909,1922,Semiweekly,Semiweekly,English,Texas-Lubbock-Lubbock,"Lubbock, Lubbock County, Texas"
Lubbock avalanche.,sn86088029,1900,1909,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock avalanche.,sn86088055,1909,1922,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock daily avalanche.,sn86088030,1922,1923,Daily,Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock daily journal.,sn86064252,1925,1932,Daily (except Sat.),Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock daily news.,sn86088047,1924,1924,Daily (except Sun.),Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock digest. [volume],sn86089670,1977,1982,Biweekly,Semimonthly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock enterprise.,sn86090975,1910,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock evening journal.,sn86088046,1932,1959,Daily (except Sat. and Sun.),Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock leader.,sn86088048,1891,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock leader.,sn86090974,1906,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock morning avalanche.,sn86091464,1923,1959,Daily (except Sun.),Daily,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lubbock news. [volume],sn86089512,1930,1999,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
Lubbock today. [volume],sn86089657,1973,1975,Weekly,Weekly,English,Texas-Lubbock-Lubbock,"Lubbock, Tex."
The Lufkin daily news.,sn83008400,1906,1959,"Daily (afternoon, Mon.-Fri.; morning, Sat.-Sun.; except Christmas)",Daily,English,Texas-Angelina-Lufkin,"Lufkin, Tex."
The Lufkin daily news.,sn88083957,1982,9999,Daily,Daily,English,Texas-Angelina-Lufkin,"Lufkin, Tex."
The Lufkin news. [volume],sn86089869,1959,1982,Daily (except Sat.),Daily,English,Texas-Angelina-Lufkin,"Lufkin, Tex."
The Lufkin news. [volume],sn86090551,1906,1999,Semiweekly,Semiweekly,English,Texas-Angelina-Lufkin,"Lufkin, Tex."
LULAC news / [volume],sn88083710,1900,9999,Monthly,Monthly,English|Spanish,Texas-Nueces-Corpus Christi,"Corpus Christi, Tex."
Luling auger.,sn95078915,1882,1899,Weekly,Weekly,English,Texas-Caldwell-Luling,"Luling, Tex."
The Luling herald.,sn87090419,1890,9999,Weekly,Weekly,English,Texas-Caldwell-Luling,"Luling, Tex."
The Luling newsboy and signal.,sn88083334,1978,9999,Weekly,Weekly,English,Texas-Caldwell-Luling,Luling [Tex.]
The Luling newsboy.,sn86089912,1940,1999,Weekly,Weekly,English,Texas-Caldwell-Luling,"Luling, Tex."
The Luling signal. [volume],sn86088878,1878,1978,Weekly,Weekly,English,Texas-Caldwell-Luling,"Luling, Tex."
Lumberton news.,sn88083066,1900,9999,NA,Missing,English,Texas-Hardin-Lumberton,"Lumberton, Tex."
The Lutheran College bulletin. [volume],sn86090499,1918,1929,Bimonthly,Bimonthly,English,Texas-Guadalupe-Seguin,"Seguin, Tex."
Lutherbote fu¨r Texas.,sn91072541,1900,1999,Monthly,Monthly,German,Texas-Fayette-La Grange,"LaGrange, Tex."
La luz.,sn91066473,1900,9999,Semimonthly (Oct.-May),Semimonthly,Spanish,Texas-Dallas-Dallas,"Dallas, Tex."
The Lyford courant.,sn88083717,1900,9999,Weekly,Weekly,English,Texas-Willacy-Lyford,"Lyford, Tex."
Maverick County clarion.,sn88083545,1965,9999,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Maverick County courier.,sn88083627,1982,1982,Weekly,Weekly,English|Spanish,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The Maverick County news.,sn88083628,1000,9999,NA,Missing,English|Spanish,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
The Maverick. [volume],sn86088749,1883,1899,Weekly,Weekly,English,Texas-Maverick-Eagle Pass,"Eagle Pass, Tex."
Maxey times.,sn86090598,1943,1945,Weekly,Weekly,English,Texas-Lamar-Camp Maxey|Texas-Lamar-Paris,"Paris, Tex."
The Maypearl herald.,sn86064251,1903,9999,Weekly,Weekly,English,Texas-Ellis-Maypearl,"Maypearl, Tex."
The Mayshaw zephyr.,sn86088021,1892,1895,Weekly,Weekly,English,Texas-Floyd-Mayshaw,"Mayshaw, Tex."
Mc Allen press.,sn88083683,1921,9999,Daily,Daily,English,Texas-Hidalgo-Mc Allen,"Mc Allen, Tex."
McAllen daily monitor. [volume],sn88083718,1900,1937,Daily (except Sat.),Daily,English,Texas-Cameron-Brownsville|Texas-Cameron-Harlingen|Texas-Hidalgo-McAllen,"McAllen, Texas"
McAllen daily press. [volume],sn86089716,1920,9999,Daily (except Sat.),Daily,English,Texas-Hidalgo-McAllen,"McAllen, Tex."
The McAllen monitor. [volume],sn86089508,1909,1999,Weekly,Weekly,English,Texas-Hidalgo-McAllen,"McAllen, Tex."
The McCamey news. [volume],sn86088823,1929,9999,Weekly,Weekly,English,Texas-Upton-McCamey,"McCamey, Tex."
The McCulloch County news.,sn87091235,1943,9999,Weekly,Weekly,English,Texas-McCulloch-Brady,"Brady, Tex."
The McGregor mirror and herald-observer.,sn87090995,1800,1955,Weekly,Weekly,English,Texas-McLennan-McGregor,"McGregor, Tex."
The McGregor mirror and the Crawford sun. [volume],sn86089738,1969,9999,Weekly,Weekly,English,Texas-McLennan-McGregor,"McGregor, Tex."
The McGregor mirror.,sn88084160,1955,1969,Weekly,Weekly,English,Texas-McLennan-McGregor,"McGregor, Tex."
The McKinney advocate. [volume],sn86089767,1877,1899,Weekly,Weekly,English,Texas-Collin-McKinney,"McKinney, Tex."
McKinney courier-gazette.,sn88083085,1965,1983,Daily,Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
McKinney daily courier-gazette. [volume],sn86089705,1923,1965,Daily (except Sat.),Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
McKinney daily courier.,sn88083274,1901,1906,Daily,Daily,English,Texas-Collin-McKinney,"McKinney, Tex."
The McKinney enquirer. [volume],sn84022069,1870,1879,Weekly,Weekly,English,Texas-Collin-McKinney,"McKinney, Tex."
The McKinney examiner. [volume],sn86088678,1887,1999,NA,Missing,English,Texas-Collin-McKinney,"McKinney, Tex."
